Chinese,Japanese,正しい日本語,
新增结算账户,決済口座を追加,決済口座新規登録,FALSE
新增角色,ロールを追加,ロール新規登録,FALSE
新增调拨,在庫移動を追加,在庫振替新規登録,FALSE
新增账号,アカウントを追加,アカウント新規登録,FALSE
新增账户转账,口座振替を追加,口座振替新規登録,FALSE
新增采购订单,仕入注文を追加,購買注文新規登録,FALSE
新增采购退货,仕入返品を追加,購買返品新規登録,FALSE
新增销售订单,販売注文を追加,販売注文新規登録,FALSE
新增销售退货,販売返品を追加,販売返品新規登録,FALSE
新增附件,添付ファイルを追加,添付ファイル新規登録,FALSE
新密码,新しいパスワード,新パスワード,FALSE
无库存,在庫切れ,在庫なし,FALSE
日常收支 export function chargeOrdersList(params),毎日の収入と支出 エクスポート関数chargeOrdersList(params),日常収支 エクスポート関数 chargeOrdersList(params),FALSE
日常收支 export function getChargeOrderNumber(params),毎日の収入と支出 エクスポート関数 getChargeOrderNumber(params),日常収支 エクスポート関数 getChargeOrderNumber(params),FALSE
日常收支新增,日々の収入と支出を加算,日常収支新規登録,FALSE
日常收支新增 export function chargeOrderCreate(data),日々の収入と支出を加算 エクスポート関数chargeOrderCreate(data),日常収支新規登録 エクスポート関数 chargeOrderCreate(data),FALSE
日常收支记录作废,毎日の収入と支出の記録は無効です,日常収支記録無効,FALSE
日常收支记录作废 export function chargeOrdersVoid(data),毎日の収入と支出の記録は無効です エクスポート関数chargeOrdersVoid(data),日常収支記録無効 エクスポート関数 chargeOrdersVoid(data),FALSE
日常采购,毎日の買い物,日常購買,FALSE
日常采购 export function getPurchaseNumber(params),毎日の買い物 エクスポート関数 getPurchaseNumber(params),日常購買 エクスポート関数 getPurchaseNumber(params),FALSE
旧密码,以前のパスワード,旧パスワード,FALSE
暂无数据,まだデータがありません,データなし,FALSE
更新,更新する,更新,FALSE
更新 export function configUpdate(data),更新する エクスポート関数 configUpdate(data),更新 エクスポート関数 configUpdate(data),FALSE
替换别名,エイリアスを置換する,別名置換,FALSE
替换别名 rows,エイリアスを置換する 行,別名置換 rows,FALSE
最低采购价,最低購入価格,最低購買価格,FALSE
最高采购价,最大購入価格,最高購買価格,FALSE
最高销售价,最大販売価格,最高販売価格,FALSE
有,持っている,あり,FALSE
期初库存,インベントリの開始,期首在庫,FALSE
未开启,電源が入っていない,無効,FALSE
未收到款项,支払いは受領されませんでした,未入金,FALSE
未添加产品,商品は追加されていません,商品未登録,FALSE
本单欠款(元),この注文の未払い金額 (元),本伝票未払金額（円）,FALSE
条,ストリップ,件,FALSE
查看,チェック,表示,FALSE
查看批次,バッチを表示する,ロット表示,FALSE
模板下载,テンプレートのダウンロード,テンプレートダウンロード,FALSE
欠款状态,延滞状況,未払い状況,FALSE
欠款金额(元),借入額（元）,未払金額（円）,FALSE
正常,普通,正常,FALSE
没准备好，请稍后再试！,準備ができていません。後でもう一度お試しください。,準備ができていません。後でもう一度お試しください,FALSE
注意：如曾安装过Lodop旧版附件npActiveXPLugin,注: 古い Lodop アドオン npActiveXPLugin をインストールしている場合,注意：以前にLodop旧版アドオンnpActiveXPLuginをインストールした場合,FALSE
流水类型,パイプラインの種類,明細タイプ,FALSE
添加产品,製品を追加,商品追加,FALSE
添加成功,正常に追加されました,追加成功,FALSE
添加结算账户,請求先アカウントを追加する,決済口座追加,FALSE
激活,アクティベーション,有効化,FALSE
激活入库,ストレージをアクティブ化する,入庫有効化,FALSE
激活出库,アウトバウンドをアクティブ化する,出庫有効化,FALSE
激活后无需到库存管理页面手动确认入库。,アクティベーション後、在庫管理ページに移動して手動でストレージを確認する必要はありません。,有効化後は在庫管理ページで手動入庫確認は不要,FALSE
激活后无需到库存管理页面手动确认出库。,有効化後は、在庫管理ページに移動して出荷を手動で確認する必要はありません。,有効化後は在庫管理ページで手動出庫確認は不要,FALSE
激活状态,アクティブ状態,有効状態,FALSE
物料选择,材料の選択,資材選択,FALSE
现付金额(元),現金で支払った金額（元）,現金支払金額（円）,FALSE
现收金额(元),現金で受け取った金額（元）,現金受取金額（円）,FALSE
生产单号,製造指図番号,生産指示番号,FALSE
生产数量,生産量,生産数量,FALSE
生产计划 export function productionOrderList(params),生産計画 エクスポート関数productionOrderList(params),生産計画 エクスポート関数 productionOrderList(params),FALSE
生产记录,製作実績,生産実績,FALSE
生产记录 export function productionRecordList(params),製作実績 エクスポート関数productionRecordList(params),生産実績 エクスポート関数 productionRecordList(params),FALSE
生成条形码,バーコードの生成,バーコード生成,FALSE
男,男,男性,FALSE
登录后请修改密码,ログイン後、パスワードを変更してください,ログイン後パスワードを変更してください,FALSE
盘点 export function stockCheckCreate(data),在庫 エクスポート関数stockCheckCreate(data),棚卸 エクスポート関数 stockCheckCreate(data),FALSE
盘点 export function stockCheckOrdersList(params),在庫 エクスポート関数stockCheckOrdersList(params),棚卸 エクスポート関数 stockCheckOrdersList(params),FALSE
盘点业务,在庫事業,棚卸業務,FALSE
盘点创建,インベントリの作成,棚卸登録,FALSE
盘点单,在庫シート,棚卸伝票,FALSE
盘点单 export function getStockCheckOrderNumber(params),在庫シート エクスポート関数 getStockCheckOrderNumber(params),棚卸伝票 エクスポート関数 getStockCheckOrderNumber(params),FALSE
盘点单号,在庫注文番号,棚卸伝票番号,FALSE
盘点单详情,在庫注文の詳細,棚卸伝票詳細,FALSE
盘点状态,在庫状況,棚卸状況,FALSE
盘点编号,在庫数,棚卸番号,FALSE
盘点记录作废,在庫レコードが無効です,棚卸記録無効,FALSE
盘点记录作废 export function stockCheckOrdersVoid(data),在庫レコードが無効です エクスポート関数stockCheckOrdersVoid(data),棚卸記録無効 エクスポート関数 stockCheckOrdersVoid(data),FALSE
盘点详情,在庫詳細,棚卸詳細,FALSE
盘盈总数量,利益総額,棚卸超過総数量,FALSE
盘盈总金额,利益総額,棚卸超過総金額,FALSE
确定,もちろん,確定,FALSE
确定作废吗,本当に無効ですか?,本当に無効にしますか?,FALSE
确定发布吗,必ず公開しますか?,本当に発行しますか?,FALSE
确认密码,パスワードを認証する,パスワード確認,FALSE
禁用,無効にする,無効化,FALSE
移除,取り除く,削除,FALSE
立即开始,今すぐ始めましょう,すぐに開始,FALSE
等级,学年,等級,FALSE
等级价一(元),レベル価格 1 (元),等級価格1（円）,FALSE
等级价三(元),レベル価格 3 (元),等級価格3（円）,FALSE
等级价二(元),レベル価格 2 (元),等級価格2（円）,FALSE
管理批次,バッチを管理する,ロット管理,FALSE
系统配置 export function configInfo(params),システム構成 エクスポート関数 configInfo(params),システム設定 エクスポート関数 configInfo(params),FALSE
经手人,ハンドラ,担当者,FALSE
经手日期,取引日,処理日,FALSE
结算账户 export function settlementAccountExport(params),決済口座 エクスポート関数paymentAccountExport(params),決済口座 エクスポート関数 settlementAccountExport(params),FALSE
结算账户 export function settlementAccountList(params),決済口座 エクスポート関数paymentAccountList(params),決済口座 エクスポート関数 settlementAccountList(params),FALSE
结算账户导入 export function settlementAccountImport(data),決済口座インポート エクスポート関数paymentAccountImport(data),決済口座インポート エクスポート関数 settlementAccountImport(data),FALSE
结算账户模板 export function settlementAccountTemplate(params),決済口座テンプレート エクスポート関数paymentAccountTemplate(params),決済口座テンプレート エクスポート関数 settlementAccountTemplate(params),FALSE
结算项目 export function chargeItemsOption(params),決済項目 エクスポート関数chargeItemsOption(params),決済項目 エクスポート関数 chargeItemsOption(params),FALSE
统计合计 let totalQuantity,統計合計 合計数量をみましょう,統計合計 let totalQuantity,FALSE
统计合计 let totalAmount,統計合計 合計金額をみましょう,統計合計 let totalAmount,FALSE
统计合计 let totalQuantity,統計合計 合計数量をみましょう,統計合計 let totalQuantity,FALSE
编号,番号,コード,FALSE
编号批次,番号付きバッチ,コード付きロット,FALSE
编辑产品信息,製品情報を編集する,商品情報編集,FALSE
编辑产品分类,製品カテゴリを編集する,商品分類編集,FALSE
编辑产品单位,製品単位の編集,商品単位編集,FALSE
编辑仓库,リポジトリの編集,倉庫編集,FALSE
编辑供应商,サプライヤーの編集,仕入先編集,FALSE
编辑客户,顧客の編集,顧客編集,FALSE
编辑收支项目,収入と支出の項目を編集する,収支項目編集,FALSE
编辑日常收支,毎日の収入と支出を編集する,日常収支編集,FALSE
编辑生产计划,生産計画の編集,生産計画編集,FALSE
编辑结算账户,請求先アカウントを編集する,決済口座編集,FALSE
编辑角色,役割の編集,ロール編集,FALSE
编辑账号,アカウントの編集,アカウント編集,FALSE
编辑账户转账,アカウント転送の編集,口座振替編集,FALSE
联系人,連絡担当者,連絡先,FALSE
获取LODOP对象的主过程：,LODOP オブジェクトを取得する主なプロセスは次のとおりです。,LODOPオブジェクト取得の主な手順：,FALSE
装箱清单,包装内容明細書,梱包明細書,FALSE
装箱清单原料,パッキングリストの成分,梱包明細書原料,FALSE
角色,役割,ロール,FALSE
角色权限,役割の権限,ロール権限,FALSE
计划开始时间,開始予定時刻,計画開始時間,FALSE
计划数量,予定数量,計画数量,FALSE
计划结束时间,終了予定時刻,計画終了時間,FALSE
订单收款明细,注文の支払い詳細,注文入金明細,FALSE
订单收款明细 export function salesPaymentRecord(params),注文の支払い詳細 エクスポート関数 salesPaymentRecord(params),注文入金明細 エクスポート関数 salesPaymentRecord(params),FALSE
设置密码,パスワードを設定する,パスワード設定,FALSE
设置成功,セットアップ成功,設定成功,FALSE
请先安装Lodop,まず Lodop をインストールしてください,まずLodopをインストールしてください,FALSE
请先选择仓库！,最初に倉庫を選択してください。,まず倉庫を選択してください,FALSE
请先选择出库仓库！,最初に出荷倉庫を選択してください。,まず出庫倉庫を選択してください,FALSE
请再次输入新密码,新しいパスワードをもう一度入力してください,新しいパスワードを再入力してください,FALSE
请在【工具】,[ツール]にアクセスしてください。,【ツール】で,FALSE
请将批次信息填写完整,バッチ情報を完全に入力してください,ロット情報を完全に入力してください,FALSE
请扫描产品条码,製品のバーコードをスキャンしてください,商品バーコードをスキャンしてください,FALSE
请输入产品名称,製品名を入力してください,商品名を入力してください,FALSE
请输入产品数量,製品数量を入力してください,商品数量を入力してください,FALSE
请输入产品编号,製品番号を入力してください,商品コードを入力してください,FALSE
请输入仓库编号,倉庫番号を入力してください,倉庫コードを入力してください,FALSE
请输入入出库数量,入庫数量と出庫数量を入力してください,入出庫数量を入力してください,FALSE
请输入入库数量,倉庫数量を入力してください,入庫数量を入力してください,FALSE
请输入公司编号,会社番号を入力してください,会社コードを入力してください,FALSE
请输入分类名称,カテゴリ名を入力してください,分類名を入力してください,FALSE
请输入单位名称,組織名を入力してください,単位名を入力してください,FALSE
请输入名称,名前を入力してください,名称を入力してください,FALSE
请输入姓名,名前を入力してください,氏名を入力してください,FALSE
请输入实收,実際の領収書を入力してください,実収入を入力してください,FALSE
请输入手机号,携帯電話番号を入力してください,携帯番号を入力してください,FALSE
请输入收支项目,収入と支出の項目を入力してください,収支項目を入力してください,FALSE
请输入新密码,新しいパスワードを入力してください,新パスワードを入力してください,FALSE
请输入旧密码,古いパスワードを入力してください,旧パスワードを入力してください,FALSE
请输入编号,番号を入力してください,コードを入力してください,FALSE
请输入计划数量,予定数量を入力してください,計画数量を入力してください,FALSE
请输入账户名称,アカウント名を入力してください,口座名を入力してください,FALSE
请输入转账金额,送金額を入力してください,振込金額を入力してください,FALSE
请输入退货单编号,返品注文番号を入力してください,返品伝票番号を入力してください,FALSE
请输选择性别,性別を入力して選択してください,性別を選択してください,FALSE
请选择供应商,サプライヤーを選択してください,仕入先を選択してください,FALSE
请选择入库仓库,保管倉庫を選択してください,入庫倉庫を選択してください,FALSE
请选择出库仓库,出荷倉庫を選択してください,出庫倉庫を選択してください,FALSE
请选择客户,お客様を選択してください,顧客を選択してください,FALSE
请选择收支类型,お支払いタイプを選択してください,収支タイプを選択してください,FALSE
请选择收支项目,収入と支出の項目を選択してください,収支項目を選択してください,FALSE
请选择生产产品,生産品を選択してください,生産商品を選択してください,FALSE
请选择经手人,ハンドラーを選択してください,担当者を選択してください,FALSE
请选择转入账户,振込口座を選択してください,振込先口座を選択してください,FALSE
请选择转出时间,乗り換え時間を選択してください,振出日時を選択してください,FALSE
请选择转出账户,振込口座を選択してください,振出元口座を選択してください,FALSE
请重新登录,再度ログインしてください,再ログインしてください,FALSE
调拨,在庫移動,在庫振替,FALSE
调拨 export function stockTransferCreate(data),移行 エクスポート関数stockTransferCreate(data),在庫振替 エクスポート関数 stockTransferCreate(data),FALSE
调拨 export function stockTransferOrdersList(params),移行 エクスポート関数stockTransferOrdersList(params),在庫振替 エクスポート関数 stockTransferOrdersList(params),FALSE
调拨业务,譲渡事業,在庫振替業務,FALSE
调拨创建,転送の作成,在庫振替登録,FALSE
调拨单,転送命令,在庫振替伝票,FALSE
调拨单 export function getStockTransferOrderNumber(params),転送命令 エクスポート関数 getStockTransferOrderNumber(params),在庫振替伝票 エクスポート関数 getStockTransferOrderNumber(params),FALSE
调拨单号,ダイヤル番号,在庫振替番号,FALSE
调拨单据,譲渡書類,在庫振替伝票,FALSE
调拨单详情,転送注文の詳細,在庫振替伝票詳細,FALSE
调拨数量,転送数量,振替数量,FALSE
调拨数量必填,必要な転送数量,振替数量必須,FALSE
调拨编号,転送番号,在庫振替コード,FALSE
调拨记录作废,転送記録が無効です,在庫振替記録無効,FALSE
调拨记录作废 export function stockTransferOrdersVoid(data),転送記録が無効です エクスポート関数stockTransferOrdersVoid(data),在庫振替記録無効 エクスポート関数 stockTransferOrdersVoid(data),FALSE
调拨详情,転送詳細,在庫振替詳細,FALSE
调拨详情 export function stockCheckDetail(params),転送詳細 エクスポート関数stockCheckDetail(params),在庫振替詳細 エクスポート関数 stockCheckDetail(params),FALSE
调拨详情 export function stockTransferDetail(params),転送詳細 エクスポート関数stockTransferDetail(params),在庫振替詳細 エクスポート関数 stockTransferDetail(params),FALSE
账单信息,請求情報,請求書情報,FALSE
账户余额(元),口座残高（元）,口座残高（円）,FALSE
账户名称,アカウント名,口座名,FALSE
账户类型,アカウントの種類,口座タイプ,FALSE
账户转账新增,口座振替を追加しました,口座振替新規登録,FALSE
账户转账新增 export function accountTransferOrderCreate(data),口座振替を追加しました エクスポート関数 accountTransferOrderCreate(data),口座振替新規登録 エクスポート関数 accountTransferOrderCreate(data),FALSE
账户转账记录作废,口座振替記録が無効になった,口座振替記録無効,FALSE
账户转账记录作废 export function accountTransferOrdersVoid(data),口座振替記録が無効になった エクスポート関数 accountTransferOrdersVoid(data),口座振替記録無効 エクスポート関数 accountTransferOrdersVoid(data),FALSE
账面总数量,書籍の合計金額,帳簿総数量,FALSE
资金流水,資金履歴,資金明細,FALSE
资金流水 export function financeFlowsList(params),資本の流れ エクスポート関数 FinanceFlowsList(params),資金明細 エクスポート関数 financeFlowsList(params),FALSE
资金流水详情,資金の流れの詳細,資金明細詳細,FALSE
资金流水详情 export function financeFlowDetail(params),資金の流れの詳細 エクスポート関数 FinanceFlowDetail(params),資金明細詳細 エクスポート関数 financeFlowDetail(params),FALSE
超出最大长度 (256),最大長を超えました (256),最大長を超えています（256）,FALSE
超出最大长度 (32),最大長を超えました (32),最大長を超えています（32）,FALSE
超出最大长度 (64),最大長を超えました (64),最大長を超えています（64）,FALSE
转入时间,乗り換え時間,振込日時,FALSE
转入账户,振込口座,振込先口座,FALSE
转入账户支付,口座に送金して支払います,振込先口座支払,FALSE
转出时间,転送時間,振出日時,FALSE
转出账户,口座振替,振出元口座,FALSE
转出账户支付,口座振替によるお支払い,振出元口座支払,FALSE
转账金额(元),送金額（元）,振込金額（円）,FALSE
转账金额格式不正确,送金額の形式が間違っています,振込金額の形式が不正です,FALSE
输入查询,クエリを入力してください,検索入力,FALSE
过期日期,有効期限,期限切れ日,FALSE
近30天,過去 30 日間,過去30日間,FALSE
近一年,ほぼ1年,過去1年間,FALSE
进销存管理系统,仕入・販売・在庫管理システム,購買・販売・在庫管理システム,FALSE
连接被拒绝，请检查服务器是否启动,接続が拒否されました。サーバーが起動しているかどうかを確認してください,接続が拒否されました。サーバーが起動しているか確認してください,FALSE
退款金额,返金額,返金金額,FALSE
退货单价(元),返品単価（元）,返品単価（円）,FALSE
退货单价和销退货数量必填,返品単価と売上返品数量が必要です。,返品単価と返品数量は必須,FALSE
退货单价退货数量必填,返品単価 必要な返品数量,返品単価と返品数量は必須,FALSE
退货单编号,返品注文番号,返品伝票番号,FALSE
退货总数量,返品された合計数量,返品総数量,FALSE
退货总金额,還元総額,返品総金額,FALSE
退货编号,戻り番号,返品コード,FALSE
退货记录 export function purchaseReturnOrdersList(params),返却記録 エクスポート関数 PurchaseReturnOrdersList(params),返品記録 エクスポート関数 purchaseReturnOrdersList(params),FALSE
退货记录作废,返されるレコードが無効です,返品記録無効,FALSE
退货记录作废 export function purchaseReturnOrdersVoid(data),返されるレコードが無効です エクスポート関数 PurchaseReturnOrdersVoid(data),返品記録無効 エクスポート関数 purchaseReturnOrdersVoid(data),FALSE
退货记录详情,戻りレコードの詳細,返品記録詳細,FALSE
退货记录详情 export function purchaseReturnOrderDetail(params),戻りレコードの詳細 エクスポート関数 PurchaseReturnOrderDetail(params),返品記録詳細 エクスポート関数 purchaseReturnOrderDetail(params),FALSE
选择,選ぶ,選択,FALSE
选择产品,製品を選択してください,商品を選択,FALSE
邮箱,郵便,メールアドレス,FALSE
部署用的后端,デプロイメント用のバックエンド,デプロイ用バックエンド,FALSE
采购价,購入価格,購買価格,FALSE
采购价(元),購入価格（元）,購買価格（円）,FALSE
采购价格,購入価格,購買価格,FALSE
采购价格(元),購入価格（元）,購買価格（円）,FALSE
采购入库,調達と保管,購買入庫,FALSE
采购单,注文書,購買伝票,FALSE
采购单 export function getPurchaseOrderNumber(params),注文書 エクスポート関数 getPurchaseOrderNumber(params),購買伝票 エクスポート関数 getPurchaseOrderNumber(params),FALSE
采购单价,購入単価,購買単価,FALSE
采购单价(元),購入単価（元）,購買単価（円）,FALSE
采购单价和采购数量必填,購入単価と購入数量は必須です,購買単価と購買数量は必須,FALSE
采购单原料,発注書の原材料,購買伝票原料,FALSE
采购单号,注文書番号,購買伝票番号,FALSE
采购单据,購入書類,購買伝票,FALSE
采购单据 export function purchaseOrdersOption(params),購入書類 エクスポート関数 PurchaseOrdersOption(params),購買伝票 エクスポート関数 purchaseOrdersOption(params),FALSE
采购单编号,注文書番号,購買伝票番号,FALSE
采购单详情,注文書の詳細,購買伝票詳細,FALSE
采购对账单,購入明細書,購買明細書,FALSE
采购开单,仕入伝票作成,購買伝票作成,FALSE
采购开单 export function purchaseOrderCreate(data),購入請求 エクスポート関数 PurchaseOrderCreate(data),購買伝票作成 エクスポート関数 purchaseOrderCreate(data),FALSE
采购总数量,合計購入数量,購買総数量,FALSE
采购总金额,購入総額,購買総金額,FALSE
采购总金额(元),購入総額（元）,購買総金額（円）,FALSE
采购报表,仕入レポート,購買レポート,FALSE
采购报表 export function purchaseReportStatistics(params),購入レポート エクスポート関数 PurchaseReportStatistics(params),購買レポート エクスポート関数 purchaseReportStatistics(params),FALSE
采购报表按产品汇总,製品ごとにまとめた購買レポート,商品別購買レポート集計,FALSE
采购报表按产品汇总 export function purchaseReportByGoodsList(params),製品ごとにまとめた購買レポート エクスポート関数 PurchaseReportByGoodsList(params),商品別購買レポート集計 エクスポート関数 purchaseReportByGoodsList(params),FALSE
采购报表明细,購入レポート詳細,購買レポート明細,FALSE
采购报表明细 export function purchaseReportDetialsList(params),購入レポート詳細 エクスポート関数 PurchaseReportDetialsList(params),購買レポート明細 エクスポート関数 purchaseReportDetailsList(params),FALSE
采购支出明细,購入支出の詳細,購買支出明細,FALSE
采购支出明细 export function purchasePaymentRecord(params),購入支出の詳細 エクスポート関数 PurchasePaymentRecord(params),購買支出明細 エクスポート関数 purchasePaymentRecord(params),FALSE
采购数量,購入数量,購買数量,FALSE
采购明细,購入詳細,購買明細,FALSE
采购次数,購入回数,購買回数,FALSE
采购管理,仕入管理,購買管理,FALSE
采购编号,購入番号,購買コード,FALSE
采购订单,注文書,購買注文,FALSE
采购记录,仕入記録,購買記録,FALSE
采购记录 export function purchaseOrderList(params),購入履歴 エクスポート関数 PurchaseOrderList(params),購買記録 エクスポート関数 purchaseOrderList(params),FALSE
采购记录作废,購入記録が無効です,購買記録無効,FALSE
采购记录作废 export function purchaseOrdersVoid(data),購入記録が無効です エクスポート関数 PurchaseOrdersVoid(data),購買記録無効 エクスポート関数 purchaseOrdersVoid(data),FALSE
采购记录详情,購入履歴詳細,購買記録詳細,FALSE
采购记录详情 export function purchaseOrderDetail(params),購入履歴詳細 エクスポート関数 PurchaseOrderDetail(params),購買記録詳細 エクスポート関数 purchaseOrderDetail(params),FALSE
采购退款明细,購入時の払い戻しの詳細,購買返金明細,FALSE
采购退款明细 export function purchaseReturnPaymentRecord(params),購入時の払い戻しの詳細 エクスポート関数 PurchaseReturnPaymentRecord(params),購買返金明細 エクスポート関数 purchaseReturnPaymentRecord(params),FALSE
采购退货,仕入返品,購買返品,FALSE
采购退货单,購入返品フォーム,購買返品伝票,FALSE
采购退货单 export function getPurchaseReturnOrderNumber(params),購入返品フォーム エクスポート関数 getPurchaseReturnOrderNumber(params),購買返品伝票 エクスポート関数 getPurchaseReturnOrderNumber(params),FALSE
采购退货单 export function purchaseReturnOrderCreate(data),購入返品フォーム エクスポート関数 PurchaseReturnOrderCreate(data),購買返品伝票 エクスポート関数 purchaseReturnOrderCreate(data),FALSE
采购退货单号,購入返品注文番号,購買返品伝票番号,FALSE
采购退货单据,購入返品書類,購買返品伝票,FALSE
采购退货单详情,返品注文の詳細を購入する,購買返品伝票詳細,FALSE
采购金额,購入金額,購買金額,FALSE
重置密码,パスワードをリセットする,パスワードリセット,FALSE
金额,額,金額,FALSE
金额(元),金額（元）,金額（円）,FALSE
销售价格(元),販売価格（元）,販売価格（円）,FALSE
销售任务,営業タスク,販売タスク,FALSE
销售任务 export function saleTaskList(params),営業タスク エクスポート関数 saleTaskList(params),販売タスク エクスポート関数 saleTaskList(params),FALSE
销售任务删除,営業タスクを削除する,販売タスク削除,FALSE
销售任务删除 export function saleTaskDestroy(data),営業タスクを削除する エクスポート関数 saleTaskDestroy(data),販売タスク削除 エクスポート関数 saleTaskDestroy(data),FALSE
销售任务新增,新しい営業タスク,販売タスク新規登録,FALSE
销售任务新增 export function saleTaskCreate(data),新しい営業タスク エクスポート関数 saleTaskCreate(data),販売タスク新規登録 エクスポート関数 saleTaskCreate(data),FALSE
销售出库,アウトバウンド販売,販売出庫,FALSE
销售前十产品,売上上位10製品,販売上位10商品,FALSE
销售前十产品 export function salesTopTenList(params),売上上位10製品 エクスポート関数 salesTopTenList(params),販売上位10商品 エクスポート関数 salesTopTenList(params),FALSE
销售单,販売明細書,販売伝票,FALSE
销售单价(元),販売単価（元）,販売単価（円）,FALSE
销售单价和销售数量必填,販売単価と販売数量は必須です,販売単価と販売数量は必須,FALSE
销售单号,販売注文番号,販売伝票番号,FALSE
销售单据,販売書類,販売伝票,FALSE
销售单据 export function saleOrdersOption(params),販売書類 エクスポート関数 saleOrdersOption(params),販売伝票 エクスポート関数 saleOrdersOption(params),FALSE
销售单详情,販売注文の詳細,販売伝票詳細,FALSE
销售对账单,売上明細書,販売明細書,FALSE
销售开单 export function getSaleOrderNumber(params),売上請求 エクスポート関数 getSaleOrderNumber(params),販売伝票作成 エクスポート関数 getSaleOrderNumber(params),FALSE
销售开单 export function saleOrderCreate(data),売上請求 エクスポート関数 saleOrderCreate(data),販売伝票作成 エクスポート関数 saleOrderCreate(data),FALSE
销售总数量,総販売数量,販売総数量,FALSE
销售总金额,総売上高,販売総金額,FALSE
销售总金额(元),総売上高（元）,販売総金額（円）,FALSE
销售报表按产品汇总,製品ごとの販売レポートの概要,商品別販売レポート集計,FALSE
销售报表按产品汇总 export function salesReportByGoodsList(params),製品ごとの販売レポートの概要 エクスポート関数 salesReportByGoodsList(params),商品別販売レポート集計 エクスポート関数 salesReportByGoodsList(params),FALSE
销售报表明细,販売レポートの詳細,販売レポート明細,FALSE
销售报表明细 export function salesReportDetialsList(params),販売レポートの詳細 エクスポート関数 salesReportDetialsList(params),販売レポート明細 エクスポート関数 salesReportDetailsList(params),FALSE
销售次数,販売数,販売回数,FALSE
销售编号,販売数,販売コード,FALSE
销售记录 export function saleOrderList(params),販売実績 エクスポート関数 saleOrderList(params),販売記録 エクスポート関数 saleOrderList(params),FALSE
销售记录录作废,販売記録は無効になります,販売記録無効,FALSE
销售记录录作废 export function saleOrdersVoid(data),販売記録は無効になります エクスポート関数 saleOrdersVoid(data),販売記録無効 エクスポート関数 saleOrdersVoid(data),FALSE
销售记录详情,販売実績詳細,販売記録詳細,FALSE
销售记录详情 export function saleOrderDetail(params),販売実績詳細 エクスポート関数 saleOrderDetail(params),販売記録詳細 エクスポート関数 saleOrderDetail(params),FALSE
销售退款明细,販売払い戻しの詳細,販売返金明細,FALSE
销售退款明细 export function salesReturnPaymentRecord(params),販売払い戻しの詳細 エクスポート関数 salesReturnPaymentRecord(params),販売返金明細 エクスポート関数 salesReturnPaymentRecord(params),FALSE
销售退货 export function getSaleReturnOrderNumber(params),売上の返品 エクスポート関数 getSaleReturnOrderNumber(params),販売返品 エクスポート関数 getSaleReturnOrderNumber(params),FALSE
销售退货 export function saleReturnOrderCreate(data),売上の返品 エクスポート関数 saleReturnOrderCreate(data),販売返品 エクスポート関数 saleReturnOrderCreate(data),FALSE
销售退货单,売上返品フォーム,販売返品伝票,FALSE
销售退货单号,販売返品注文番号,販売返品伝票番号,FALSE
销售退货单据,売上返品書類,販売返品伝票,FALSE
销售退货单详情,販売返品注文の詳細,販売返品伝票詳細,FALSE
销售退货记录,売上返品実績,販売返品記録,FALSE
销售退货记录 export function saleReturnOrderList(params),売上返品実績 エクスポート関数 saleReturnOrderList(params),販売返品記録 エクスポート関数 saleReturnOrderList(params),FALSE
销售退货详情,販売返品の詳細,販売返品詳細,FALSE
销售退货详情 export function saleReturnOrderDetail(params),販売返品の詳細 エクスポート関数 saleReturnOrderDetail(params),販売返品詳細 エクスポート関数 saleReturnOrderDetail(params),FALSE
销售金额,売上高,販売金額,FALSE
附加组件】,アドオン],アドオン】,FALSE
零售价(元),小売価格（元）,小売価格（円）,FALSE
需要完善该产品的批次信息,この製品のバッチ情報を完了する必要があります,この商品のロット情報を完成させる必要があります,FALSE
页面引用CLodop云打印必须的JS文件：,このページでは、CLodop クラウド印刷に必要な JS ファイルを参照しています。,ページでCLodopクラウド印刷に必要なJSファイルを参照：,FALSE
预期价格(元),予想価格（元）,予定価格（円）,FALSE
预期销售数量,予想販売数量,予定販売数量,FALSE
首页,フロントページ,ホーム,FALSE
默认初始密码为,デフォルトの初期パスワードは、,デフォルト初期パスワードは,FALSE
