Chinese,Japanese,正しい日本語,
系统管理,システム管理,,
系统配置,システム設定,,
"系统配置
export function configInfo(params)","システム構成
エクスポート関数 configInfo(params)",,
经手人,ハンドラ,,
经手日期,取引日,,
结束时间,終了時間,,
结算账户,決済口座,,
"结算账户
export function accountsOption(params)","決済口座
エクスポート関数 accountsOption(params)",,
"结算账户
export function getSettlementAccountNumber(params)","決済口座
エクスポート関数 getSettlementAccountNumber(params)",,
"结算账户
export function settlementAccountExport(params)","決済口座
エクスポート関数paymentAccountExport(params)",,
"结算账户
export function settlementAccountList(params)","決済口座
エクスポート関数paymentAccountList(params)",,
结算账户信息,決済口座情報,,
结算账户列表,決済口座一覧,,
结算账户名称,決済口座名,,
结算账户导入,決済口座インポート,,
"结算账户导入
export function settlementAccountImport(data)","決済口座インポート
エクスポート関数paymentAccountImport(data)",,
结算账户导入模板,決済口座インポートテンプレート,,
结算账户模板,決済口座テンプレート,,
"结算账户模板
export function settlementAccountTemplate(params)","決済口座テンプレート
エクスポート関数paymentAccountTemplate(params)",,
结算账户编号,決済口座番号,,
结算项目,決済項目,,
"结算项目
export function chargeItemsOption(params)","決済項目
エクスポート関数chargeItemsOption(params)",,
统计合计,統計合計,,
"统计合计
        let totalQuantity","統計合計
        合計数量をみましょう",,
"统计合计
      let totalAmount","統計合計
      合計金額をみましょう",,
"统计合计
      let totalQuantity","統計合計
      合計数量をみましょう",,
编号,番号,,
编号批次,番号付きバッチ,,
编码,コード,,
编辑,編集,,
编辑产品信息,製品情報を編集する,,
编辑产品分类,製品カテゴリを編集する,,
编辑产品单位,製品単位の編集,,
编辑仓库,リポジトリの編集,,
编辑供应商,サプライヤーの編集,,
编辑客户,顧客の編集,,
编辑收支项目,収入と支出の項目を編集する,,
编辑日常收支,毎日の収入と支出を編集する,,
编辑生产计划,生産計画の編集,,
编辑结算账户,請求先アカウントを編集する,,
编辑角色,役割の編集,,
编辑账号,アカウントの編集,,
编辑账户转账,アカウント転送の編集,,
联系人,連絡担当者,,
联系电话,連絡先電話番号,,
自定义时间,カスタム時間,,
获取LODOP对象的主过程：,LODOP オブジェクトを取得する主なプロセスは次のとおりです。,,
装箱清单,包装内容明細書,,
装箱清单原料,パッキングリストの成分,,
规格,仕様,,
角色,役割,,
角色权限,役割の権限,,
角色管理,ロール管理,,
计划开始时间,開始予定時刻,,
计划数量,予定数量,,
计划结束时间,終了予定時刻,,
订单收款明细,注文の支払い詳細,,
"订单收款明细
export function salesPaymentRecord(params)","注文の支払い詳細
エクスポート関数 salesPaymentRecord(params)",,
设置密码,パスワードを設定する,,
设置成功,セットアップ成功,,
详情,詳細,,
请先安装Lodop,まず Lodop をインストールしてください,,
请先选择仓库！,最初に倉庫を選択してください。,,
请先选择出库仓库！,最初に出荷倉庫を選択してください。,,
请再次输入新密码,新しいパスワードをもう一度入力してください,,
请在【工具】,[ツール]にアクセスしてください。,,
请将批次信息填写完整,バッチ情報を完全に入力してください,,
请将结算账户信息填写完整,決済口座情報を完全に入力してください,,
请扫描产品条码,製品のバーコードをスキャンしてください,,
请等待,お待ちください,,
请输入产品名称,製品名を入力してください,,
请输入产品数量,製品数量を入力してください,,
请输入产品编号,製品番号を入力してください,,
请输入仓库名称,倉庫名を入力してください,,
请输入仓库编号,倉庫番号を入力してください,,
请输入入出库数量,入庫数量と出庫数量を入力してください,,
请输入入库数量,倉庫数量を入力してください,,
请输入公司编号,会社番号を入力してください,,
请输入分类名称,カテゴリ名を入力してください,,
请输入单位名称,組織名を入力してください,,
请输入名称,名前を入力してください,,
请输入姓名,名前を入力してください,,
请输入实收,実際の領収書を入力してください,,
请输入密码,パスワードを入力してください,,
请输入应收,売掛金を入力してください,,
请输入手机号,携帯電話番号を入力してください,,
请输入收支项目,収入と支出の項目を入力してください,,
请输入新密码,新しいパスワードを入力してください,,
请输入旧密码,古いパスワードを入力してください,,
请输入生产数量,生産数量を入力してください,,
请输入用户名,ユーザー名を入力してください,,
请输入编号,番号を入力してください,,
请输入角色名称,ロール名を入力してください,,
请输入计划数量,予定数量を入力してください,,
请输入账户名称,アカウント名を入力してください,,
请输入账户编号,口座番号を入力してください,,
请输入转账金额,送金額を入力してください,,
请输入退货单编号,返品注文番号を入力してください,,
请输选择性别,性別を入力して選択してください,,
请选择,選択してください,,
请选择仓库,倉庫を選択してください,,
请选择供应商,サプライヤーを選択してください,,
请选择入库仓库,保管倉庫を選択してください,,
请选择出库仓库,出荷倉庫を選択してください,,
请选择处理日期,処理日を選択してください,,
请选择处理时间,処理時間を選択してください,,
请选择客户,お客様を選択してください,,
请选择收支类型,お支払いタイプを選択してください,,
请选择收支项目,収入と支出の項目を選択してください,,
请选择时间,時間を選択してください,,
请选择权限,権限を選択してください,,
请选择状态,状態を選択してください,,
请选择生产产品,生産品を選択してください,,
请选择经手人,ハンドラーを選択してください,,
请选择结算账户,決済口座を選択してください,,
请选择转入账户,振込口座を選択してください,,
请选择转出时间,乗り換え時間を選択してください,,
请选择转出账户,振込口座を選択してください,,
请重新登录,再度ログインしてください,,
调拨,在庫移動,,
"调拨
export function stockTransferCreate(data)","移行
エクスポート関数stockTransferCreate(data)",,
"调拨
export function stockTransferOrdersList(params)","移行
エクスポート関数stockTransferOrdersList(params)",,
调拨业务,譲渡事業,,
调拨创建,転送の作成,,
调拨单,転送命令,,
"调拨单
export function getStockTransferOrderNumber(params)","転送命令
エクスポート関数 getStockTransferOrderNumber(params)",,
调拨单号,ダイヤル番号,,
调拨单据,譲渡書類,,
调拨单详情,転送注文の詳細,,
调拨数量,転送数量,,
调拨数量必填,必要な転送数量,,
调拨编号,転送番号,,
调拨记录作废,転送記録が無効です,,
"调拨记录作废
export function stockTransferOrdersVoid(data)","転送記録が無効です
エクスポート関数stockTransferOrdersVoid(data)",,
调拨详情,転送詳細,,
"调拨详情
export function stockCheckDetail(params)","転送詳細
エクスポート関数stockCheckDetail(params)",,
"调拨详情
export function stockTransferDetail(params)","転送詳細
エクスポート関数stockTransferDetail(params)",,
财务管理,財務管理,,
账单信息,請求情報,,
账号管理,アカウント管理,,
账户余额(元),口座残高（元）,,
账户名称,アカウント名,,
账户类型,アカウントの種類,,
账户编号,口座番号,,
账户转账,口座振替,,
"账户转账
export function accountTransferOrdersList(params)","口座振替
エクスポート関数 accountTransferOrdersList(params)",,
账户转账新增,口座振替を追加しました,,
"账户转账新增
export function accountTransferOrderCreate(data)","口座振替を追加しました
エクスポート関数 accountTransferOrderCreate(data)",,
账户转账记录作废,口座振替記録が無効になった,,
"账户转账记录作废
export function accountTransferOrdersVoid(data)","口座振替記録が無効になった
エクスポート関数 accountTransferOrdersVoid(data)",,
账面总数量,書籍の合計金額,,
资金流水,資金履歴,,
"资金流水
export function financeFlowsList(params)","資本の流れ
エクスポート関数 FinanceFlowsList(params)",,
资金流水详情,資金の流れの詳細,,
"资金流水详情
export function financeFlowDetail(params)","資金の流れの詳細
エクスポート関数 FinanceFlowDetail(params)",,
超出最大长度 (256),最大長を超えました (256),,
超出最大长度 (32),最大長を超えました (32),,
超出最大长度 (64),最大長を超えました (64),,
转入时间,乗り換え時間,,
转入账户,振込口座,,
转入账户支付,口座に送金して支払います,,
转出时间,転送時間,,
转出账户,口座振替,,
转出账户支付,口座振替によるお支払い,,
转账金额,振込金額,,
转账金额(元),送金額（元）,,
转账金额格式不正确,送金額の形式が間違っています,,
输入查询,クエリを入力してください,,
过期日期,有効期限,,
近30天,過去 30 日間,,
近7天,過去7日間,,
近一年,ほぼ1年,,
返回,戻る,,
返回登录,ログインに戻る,,
进销存管理系统,仕入・販売・在庫管理システム,,
连接被拒绝，请检查服务器是否启动,接続が拒否されました。サーバーが起動しているかどうかを確認してください,,
退出登录,ログアウト,,
退款金额,返金額,,
退货单价(元),返品単価（元）,,
退货单价和销退货数量必填,返品単価と売上返品数量が必要です。,,
退货单价退货数量必填,返品単価 必要な返品数量,,
退货单编号,返品注文番号,,
退货总数量,返品された合計数量,,
退货总金额,還元総額,,
退货数量,返品数量,,
退货编号,戻り番号,,
退货记录,返品記録,,
"退货记录
export function purchaseReturnOrdersList(params)","返却記録
エクスポート関数 PurchaseReturnOrdersList(params)",,
退货记录作废,返されるレコードが無効です,,
"退货记录作废
export function purchaseReturnOrdersVoid(data)","返されるレコードが無効です
エクスポート関数 PurchaseReturnOrdersVoid(data)",,
退货记录详情,戻りレコードの詳細,,
"退货记录详情
export function purchaseReturnOrderDetail(params)","戻りレコードの詳細
エクスポート関数 PurchaseReturnOrderDetail(params)",,
选择,選ぶ,,
选择产品,製品を選択してください,,
邮箱,郵便,,
部署用的后端,デプロイメント用のバックエンド,,
配置管理,構成管理,,
采购价,購入価格,,
采购价(元),購入価格（元）,,
采购价格,購入価格,,
采购价格(元),購入価格（元）,,
采购入库,調達と保管,,
采购单,注文書,,
"采购单
export function getPurchaseOrderNumber(params)","注文書
エクスポート関数 getPurchaseOrderNumber(params)",,
采购单价,購入単価,,
采购单价(元),購入単価（元）,,
采购单价和采购数量必填,購入単価と購入数量は必須です,,
采购单原料,発注書の原材料,,
采购单号,注文書番号,,
采购单据,購入書類,,
"采购单据
export function purchaseOrdersOption(params)","購入書類
エクスポート関数 PurchaseOrdersOption(params)",,
采购单编号,注文書番号,,
采购单详情,注文書の詳細,,
采购对账单,購入明細書,,
采购开单,仕入伝票作成,,
"采购开单
export function purchaseOrderCreate(data)","購入請求
エクスポート関数 PurchaseOrderCreate(data)",,
采购总数量,合計購入数量,,
采购总金额,購入総額,,
采购总金额(元),購入総額（元）,,
采购报表,仕入レポート,,
"采购报表
export function purchaseReportStatistics(params)","購入レポート
エクスポート関数 PurchaseReportStatistics(params)",,
采购报表按产品汇总,製品ごとにまとめた購買レポート,,
"采购报表按产品汇总
export function purchaseReportByGoodsList(params)","製品ごとにまとめた購買レポート
エクスポート関数 PurchaseReportByGoodsList(params)",,
采购报表明细,購入レポート詳細,,
"采购报表明细
export function purchaseReportDetialsList(params)","購入レポート詳細
エクスポート関数 PurchaseReportDetialsList(params)",,
采购支出明细,購入支出の詳細,,
"采购支出明细
export function purchasePaymentRecord(params)","購入支出の詳細
エクスポート関数 PurchasePaymentRecord(params)",,
采购数量,購入数量,,
采购明细,購入詳細,,
采购次数,購入回数,,
采购管理,仕入管理,,
采购编号,購入番号,,
采购订单,注文書,,
采购记录,仕入記録,,
"采购记录
export function purchaseOrderList(params)","購入履歴
エクスポート関数 PurchaseOrderList(params)",,
采购记录作废,購入記録が無効です,,
"采购记录作废
export function purchaseOrdersVoid(data)","購入記録が無効です
エクスポート関数 PurchaseOrdersVoid(data)",,
采购记录详情,購入履歴詳細,,
"采购记录详情
export function purchaseOrderDetail(params)","購入履歴詳細
エクスポート関数 PurchaseOrderDetail(params)",,
采购退款明细,購入時の払い戻しの詳細,,
"采购退款明细
export function purchaseReturnPaymentRecord(params)","購入時の払い戻しの詳細
エクスポート関数 PurchaseReturnPaymentRecord(params)",,
采购退货,仕入返品,,
采购退货单,購入返品フォーム,,
"采购退货单
export function getPurchaseReturnOrderNumber(params)","購入返品フォーム
エクスポート関数 getPurchaseReturnOrderNumber(params)",,
"采购退货单
export function purchaseReturnOrderCreate(data)","購入返品フォーム
エクスポート関数 PurchaseReturnOrderCreate(data)",,
采购退货单号,購入返品注文番号,,
采购退货单据,購入返品書類,,
采购退货单详情,返品注文の詳細を購入する,,
采购金额,購入金額,,
重置密码,パスワードをリセットする,,
重置成功,リセット成功,,
金额,額,,
金额(元),金額（元）,,
银行账户,銀行口座,,
销售价格(元),販売価格（元）,,
销售任务,営業タスク,,
"销售任务
export function saleTaskList(params)","営業タスク
エクスポート関数 saleTaskList(params)",,
销售任务删除,営業タスクを削除する,,
"销售任务删除
export function saleTaskDestroy(data)","営業タスクを削除する
エクスポート関数 saleTaskDestroy(data)",,
销售任务新增,新しい営業タスク,,
"销售任务新增
export function saleTaskCreate(data)","新しい営業タスク
エクスポート関数 saleTaskCreate(data)",,
销售出库,アウトバウンド販売,,
销售前十产品,売上上位10製品,,
"销售前十产品
export function salesTopTenList(params)","売上上位10製品
エクスポート関数 salesTopTenList(params)",,
销售单,販売明細書,,
销售单价,販売単価,,
销售单价(元),販売単価（元）,,
销售单价和销售数量必填,販売単価と販売数量は必須です,,
销售单号,販売注文番号,,
销售单据,販売書類,,
"销售单据
export function saleOrdersOption(params)","販売書類
エクスポート関数 saleOrdersOption(params)",,
销售单详情,販売注文の詳細,,
销售对账单,売上明細書,,
销售开单,販売伝票作成,,
"销售开单
export function getSaleOrderNumber(params)","売上請求
エクスポート関数 getSaleOrderNumber(params)",,
"销售开单
export function saleOrderCreate(data)","売上請求
エクスポート関数 saleOrderCreate(data)",,
销售总数量,総販売数量,,
销售总金额,総売上高,,
销售总金额(元),総売上高（元）,,
销售报表,販売レポート,,
"销售报表
export function salesReportStatistics(params)","販売レポート
エクスポート関数 salesReportStatistics(params)",,
销售报表按产品汇总,製品ごとの販売レポートの概要,,
"销售报表按产品汇总
export function salesReportByGoodsList(params)","製品ごとの販売レポートの概要
エクスポート関数 salesReportByGoodsList(params)",,
销售报表明细,販売レポートの詳細,,
"销售报表明细
export function salesReportDetialsList(params)","販売レポートの詳細
エクスポート関数 salesReportDetialsList(params)",,
销售数量,販売数量,,
销售次数,販売数,,
销售管理,販売管理,,
销售编号,販売数,,
销售订单,販売注文,,
销售记录,販売記録,,
"销售记录
export function saleOrderList(params)","販売実績
エクスポート関数 saleOrderList(params)",,
销售记录录作废,販売記録は無効になります,,
"销售记录录作废
export function saleOrdersVoid(data)","販売記録は無効になります
エクスポート関数 saleOrdersVoid(data)",,
销售记录详情,販売実績詳細,,
"销售记录详情
export function saleOrderDetail(params)","販売実績詳細
エクスポート関数 saleOrderDetail(params)",,
销售走势,販売動向,,
"销售走势
export function salesTrendList(params)","販売動向
エクスポート関数 salesTrendList(params)",,
销售退款明细,販売払い戻しの詳細,,
"销售退款明细
export function salesReturnPaymentRecord(params)","販売払い戻しの詳細
エクスポート関数 salesReturnPaymentRecord(params)",,
销售退货,販売返品,,
"销售退货
export function getSaleReturnOrderNumber(params)","売上の返品
エクスポート関数 getSaleReturnOrderNumber(params)",,
"销售退货
export function saleReturnOrderCreate(data)","売上の返品
エクスポート関数 saleReturnOrderCreate(data)",,
销售退货单,売上返品フォーム,,
销售退货单号,販売返品注文番号,,
销售退货单据,売上返品書類,,
销售退货单详情,販売返品注文の詳細,,
销售退货记录,売上返品実績,,
"销售退货记录
export function saleReturnOrderList(params)","売上返品実績
エクスポート関数 saleReturnOrderList(params)",,
销售退货详情,販売返品の詳細,,
"销售退货详情
export function saleReturnOrderDetail(params)","販売返品の詳細
エクスポート関数 saleReturnOrderDetail(params)",,
销售金额,売上高,,
销量,販売数量,,
附加组件】,アドオン],,
零售价,小売価格,,
零售价(元),小売価格（元）,,
需要完善该产品的批次信息,この製品のバッチ情報を完了する必要があります,,
页面引用CLodop云打印必须的JS文件：,このページでは、CLodop クラウド印刷に必要な JS ファイルを参照しています。,,
项目名称,プロジェクト名,,
预期价格(元),予想価格（元）,,
预期销售数量,予想販売数量,,
首页,フロントページ,,
默认初始密码为,デフォルトの初期パスワードは、,,
